user_id,user_email,user_role,user_tier,event_name,platform,session_id,occurred_at
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,login_success,ios,s_356787,2026-04-01 15:27:54.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,dashboard_view,web,s_809570,2026-04-01 16:19:10.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,mentor_view,web,s_719176,2026-04-01 16:57:23.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,dashboard_view,web,s_329258,2026-04-01 17:00:25.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,dashboard_view,web,s_688508,2026-04-01 17:42:30.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,login_success,android,s_671412,2026-04-01 18:27:51.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,dashboard_view,android,s_391704,2026-04-01 18:59:30.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,mentor_view,web,s_832052,2026-04-01 19:00:56.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,dashboard_view,web,s_325772,2026-04-01 19:20:54.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,event_rsvp,web,s_197251,2026-04-01 19:44:52.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,dashboard_view,ios,s_733052,2026-04-01 20:10:22.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,dashboard_view,android,s_581741,2026-04-01 20:14:19.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,internship_view,web,s_678856,2026-04-01 20:41:09.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,dashboard_view,android,s_479201,2026-04-01 21:25:03.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,internship_view,web,s_148050,2026-04-01 22:14:08.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,internship_apply,ios,s_183667,2026-04-01 23:07:54.974964+00:00
69f1ff94591162717fe335da,newoauth.mentor.1777467282@example.com,mentor,,mentor_book,ios,s_391476,2026-04-01 23:15:47.974964+00:00
