id,email,role,full_name,tier,tier_score,city,state,skills,phone,onboarding_completed,created_at
69f1d448254ddb0f894df329,admin@careerpath.app,admin,Platform Admin,,,,,,,True,2026-04-29T09:50:00.192000
69f1dac580200de5acc3e5db,test-student-f3327c4b@test.com,student,Test Student,,,,,Python; JS,+919999999999,True,2026-04-29T10:17:41.028000
69f1db7c6a57d3b5ea53c570,testmjlwsm@test.com,student,Aarav Test,,,,,,,True,2026-04-29T10:20:44.667000
69f1e5efbc31a7a641693959,newstudent@test.com,student,Test Student,,,,,,,False,2026-04-29T11:05:19.430000
69f1e672a9affb39f79cd577,test-student-b200c353@test.com,student,Test Student,,,,,Python,+919999999999,True,2026-04-29T11:07:30.107000
69f1e672a9affb39f79cd578,test-student2-24b079bb@test.com,student,Test Student2,,,,,,,True,2026-04-29T11:07:30.381000
69f1e672a9affb39f79cd579,test-alumni-85033bd9@test.com,alumni,Test Alumni,,,,,,,False,2026-04-29T11:07:30.651000
69f1e672a9affb39f79cd57a,test-mentor-62b5ef86@test.com,mentor,Test Mentor,,,,,,,True,2026-04-29T11:07:30.950000
69f1e6f4a9affb39f79cd57c,mentorwcbtth@test.com,mentor,Test Mentor,,,,,,,False,2026-04-29T11:09:40.679000
69f1f4292f47ea003279a16a,student@test.com,student,Test Student,,,,,Python,,True,2026-04-29T12:06:01.470000
69f1f6c42f47ea003279a16b,alumni-test-1777465028@test.com,alumni,Alumni Test User,,,,,C++,,True,2026-04-29T12:17:08.972000
69f1fd9a2bd09b825111491c,admin2@careerpath.app,admin,Senior Admin,,,,,,,True,2026-04-29T12:46:18.596000
69f1fd9b2bd09b825111491d,iith@university.in,college,IIT Hyderabad,,,,,,+91-99887766EDIT,True,2026-04-29T12:46:18.596000
69f1fd9b2bd09b825111491e,iitb@university.in,college,IIT Bombay,,,,,,+91-22-25722545,True,2026-04-29T12:46:18.596000
69f1fd9b2bd09b825111491f,bits@university.in,college,BITS Pilani,,,,,,+91-1596-242210,True,2026-04-29T12:46:18.596000
69f1fd9b2bd09b8251114920,vit@university.in,college,VIT Vellore,,,,,,+91-416-2243091,True,2026-04-29T12:46:18.596000
69f1fd9c2bd09b8251114921,iiitb@university.in,college,IIIT Bangalore,,,,,,+91-80-41407777,True,2026-04-29T12:46:18.596000
69f1fd9c2bd09b8251114922,stanford@university.in,college,Stanford University,,,,,,+1-650-723-2300,True,2026-04-29T12:46:18.596000
69f1fd9c2bd09b8251114923,student01@test.com,student,Aarav Student,,,,,Python; React,,True,2026-04-29T12:46:18.596000
69f1fd9c2bd09b8251114924,student02@test.com,student,Vivaan Student,,,,,JavaScript; C++,,True,2026-04-29T12:46:18.596000
69f1fd9c2bd09b8251114925,student03@test.com,student,Aditya Student,,,,,React; SQL,,True,2026-04-29T12:46:18.596000
69f1fd9d2bd09b8251114926,student04@test.com,student,Vihaan Student,,,,,C++; Java,,True,2026-04-29T12:46:18.596000
69f1fd9d2bd09b8251114927,student05@test.com,student,Arjun Student,,,,,Python; JavaScript,,True,2026-04-29T12:46:18.596000
69f1fd9d2bd09b8251114928,student06@test.com,student,Sai Student,,,,,Python; Java,,True,2026-04-29T12:46:18.596000
69f1fd9d2bd09b8251114929,student07@test.com,student,Reyansh Student,,,,,C++; SQL,,True,2026-04-29T12:46:18.596000
69f1fd9e2bd09b825111492a,student08@test.com,student,Krishna Student,,,,,Python; SQL,,True,2026-04-29T12:46:18.596000
69f1fd9e2bd09b825111492b,student09@test.com,student,Ishaan Student,,,,,Java; JavaScript,,True,2026-04-29T12:46:18.596000
69f1fd9e2bd09b825111492c,student10@test.com,student,Shaurya Student,,,,,React; SQL,,True,2026-04-29T12:46:18.596000
69f1fd9e2bd09b825111492d,student11@test.com,student,Atharv Student,,,,,C++; Python,,True,2026-04-29T12:46:18.596000
